order_id,order_date,customer_id,product_id,quantity,unit_price,status,region,name,category,line_value
ORD-001,2024-01-15,C001,P003,2,24.99,complete,North West,Motion Sensor,Sensors,49.98
ORD-002,2024-01-15,C002,P007,1,14.99,complete,South East,Smart Plug,Smart Plugs,14.99
ORD-003,2024-01-16,C003,P001,1,89.99,complete,Scotland,Smart Thermostat Pro,Thermostats,89.99
ORD-004,2024-01-16,C004,P005,2,129.99,complete,Yorkshire,Smart Camera Indoor,Cameras,259.98
ORD-005,2024-01-17,C005,P009,1,49.99,pending,London,Smart Hub,Hubs,49.99
ORD-006,2024-01-18,C006,P002,1,59.99,complete,Midlands,Smart Thermostat Lite,Thermostats,59.99
ORD-008,2024-01-18,C008,P006,1,149.99,pending,Wales,Smart Camera Outdoor,Cameras,149.99
ORD-009,2024-01-19,C001,P008,2,19.99,complete,North West,Smart Plug with Energy Monitor,Smart Plugs,39.98
ORD-010,2024-01-20,C009,P004,1,18.99,cancelled,Unknown,Door Sensor,Sensors,18.99
ORD-012,2024-01-21,C011,P007,3,14.99,complete,London,Smart Plug,Smart Plugs,44.97
ORD-014,2024-01-22,C013,P005,1,129.99,complete,South East,Smart Camera Indoor,Cameras,129.99
ORD-015,2024-01-22,C014,P009,2,49.99,pending,Midlands,Smart Hub,Hubs,99.98
ORD-016,2024-01-22,C015,P002,1,59.99,complete,North East,Smart Thermostat Lite,Thermostats,59.99
ORD-017,2024-01-23,C016,P006,1,149.99,cancelled,Unknown,Smart Camera Outdoor,Cameras,149.99
ORD-018,2024-01-24,C017,P004,4,18.99,complete,South West,Door Sensor,Sensors,75.96
ORD-020,2024-01-25,C019,P008,1,19.99,complete,London,Smart Plug with Energy Monitor,Smart Plugs,19.99
ORD-022,2024-01-25,C021,P003,2,24.99,complete,North West,Motion Sensor,Sensors,49.98
ORD-023,2024-01-26,C022,P007,5,14.99,complete,South East,Smart Plug,Smart Plugs,74.95
ORD-024,2024-01-26,C023,P005,1,129.99,complete,Wales,Smart Camera Indoor,Cameras,129.99
ORD-025,2024-01-26,C024,P009,3,49.99,pending,Scotland,Smart Hub,Hubs,149.97
ORD-026,2024-01-28,C025,P002,2,59.99,complete,North West,Smart Thermostat Lite,Thermostats,119.98
ORD-027,2024-01-28,C026,P004,1,18.99,complete,Yorkshire,Door Sensor,Sensors,18.99
ORD-028,2024-01-29,C027,P008,3,19.99,pending,London,Smart Plug with Energy Monitor,Smart Plugs,59.97
